unit_code,level,category,item_id,section,label,score,confidence,text,matched_rule_labels,source_url
INFS2010,UG,Work-Integrated and Applied Learning,WK24,weekly_schedule,Week 12: Group Project Presentations,3.5,moderate,Group Project Presentations. Learning activity: Tutorial (1.5 hr),professional presentation,https://www.sydney.edu.au/units/INFS2010/2026-S2C-ND-CC
INFS2010,UG,Project- and Problem-Based Learning,WK24,weekly_schedule,Week 12: Group Project Presentations,3.0,moderate,Group Project Presentations. Learning activity: Tutorial (1.5 hr),substantial project,https://www.sydney.edu.au/units/INFS2010/2026-S2C-ND-CC
INFS2030,UG,Project- and Problem-Based Learning,AS04,assessment,Group project report Written report,3.0,moderate,Type: Written work. Description: Group project report Written report,substantial project,https://www.sydney.edu.au/units/INFS2030/2026-S1C-ND-CC
INFS2030,UG,Work-Integrated and Applied Learning,AS05,assessment,Group project presentation Oral presentation,3.5,moderate,Type: Presentation. Description: Group project presentation Oral presentation,professional presentation,https://www.sydney.edu.au/units/INFS2030/2026-S1C-ND-CC
INFS2030,UG,Project- and Problem-Based Learning,AS05,assessment,Group project presentation Oral presentation,3.0,moderate,Type: Presentation. Description: Group project presentation Oral presentation,substantial project,https://www.sydney.edu.au/units/INFS2030/2026-S1C-ND-CC
INFS2030,UG,Project- and Problem-Based Learning,AD03,assessment_description,Assessment description 3,3.0,moderate,"Group project report: The group project is an applied assignment that involves the development of a business plan for a new product or service of your choice. You will outline the value proposition, define the key components of the digital business model, analyse competitive positioning, articulate the digital business capabilities required, and develop an implementation plan. Groups will submit a report that captures these elements.",substantial project,https://www.sydney.edu.au/units/INFS2030/2026-S1C-ND-CC
INFS2030,UG,Work-Integrated and Applied Learning,AD04,assessment_description,Assessment description 4,3.5,moderate,Group project presentation: Each group will present its business plan during the lectures and tutorials in weeks 12 and 13. All group members must participate in the presentation.,professional presentation,https://www.sydney.edu.au/units/INFS2030/2026-S1C-ND-CC
INFS2030,UG,Project- and Problem-Based Learning,AD04,assessment_description,Assessment description 4,3.0,moderate,Group project presentation: Each group will present its business plan during the lectures and tutorials in weeks 12 and 13. All group members must participate in the presentation.,substantial project,https://www.sydney.edu.au/units/INFS2030/2026-S1C-ND-CC
INFS2030,UG,Simulation and Case-Based Learning,AD05,assessment_description,Assessment description 5,4.0,moderate,"Final exam: This is a closed-book exam that will cover material from all weekly classes and readings. This exam will consist of an extended answer, case study and multiple-choice questions.",explicit case method,https://www.sydney.edu.au/units/INFS2030/2026-S1C-ND-CC
INFS2040,UG,Project- and Problem-Based Learning,LO07,learning_outcome,Learning outcome 7,3.5,moderate,"LO7. learn about design thinking and how to manage ideas in a team setting, both hard and soft skills.",design thinking,https://www.sydney.edu.au/units/INFS2040/2026-S2C-ND-CC
INFS2040,UG,Simulation and Case-Based Learning,AS03,assessment,Group assignment Group assignment around the case study and the team's approach,4.0,moderate,Type: Written work. Description: Group assignment Group assignment around the case study and the team's approach,explicit case method,https://www.sydney.edu.au/units/INFS2040/2026-S2C-ND-CC
INFS2050,UG,Simulation and Case-Based Learning,AS02,assessment,Individual Assignment One Written task,4.0,moderate,Type: Case studies. Description: Individual Assignment One Written task,explicit case method,https://www.sydney.edu.au/units/INFS2050/2026-S1C-ND-CC
INFS2050,UG,Simulation and Case-Based Learning,AS03,assessment,Group Assignment Group Report Submission,4.0,moderate,Type: Case studies. Description: Group Assignment Group Report Submission,explicit case method,https://www.sydney.edu.au/units/INFS2050/2026-S1C-ND-CC
INFS2050,UG,Simulation and Case-Based Learning,AS06,assessment,Individual Assignment Two Written task,4.0,moderate,Type: Case studies. Description: Individual Assignment Two Written task,explicit case method,https://www.sydney.edu.au/units/INFS2050/2026-S1C-ND-CC
INFS3040,UG,Project- and Problem-Based Learning,AS03,assessment,Group project n/a,3.0,moderate,Type: Written work. Description: Group project n/a,substantial project,https://www.sydney.edu.au/units/INFS3040/2026-S2C-ND-CC
INFS3040,UG,Project- and Problem-Based Learning,AD02,assessment_description,Assessment description 2,3.0,moderate,"Group project: Based upon a business case and the group's independent research, students are required to analyse an information infrastructure and identify requirements for an Enterprise Systems solution.",substantial project,https://www.sydney.edu.au/units/INFS3040/2026-S2C-ND-CC
INFS3050,UG,Project- and Problem-Based Learning,WK11,weekly_schedule,Week 11: Group project work and consultations,3.0,moderate,Group project work and consultations. Learning activity: Seminar (3 hr),substantial project,https://www.sydney.edu.au/units/INFS3050/2026-S1C-ND-CC
INFS3120,UG,Simulation and Case-Based Learning,AS02,assessment,Individual Assignment Written submission,4.0,moderate,Type: Case studies. Description: Individual Assignment Written submission,explicit case method,https://www.sydney.edu.au/units/INFS3120/2026-S1C-ND-CC
INFS3120,UG,Simulation and Case-Based Learning,AS03,assessment,Group Plan Pitch (5 min) Presentation & Submission,4.0,moderate,Type: Case studies. Description: Group Plan Pitch (5 min) Presentation & Submission,explicit case method,https://www.sydney.edu.au/units/INFS3120/2026-S1C-ND-CC
INFS3120,UG,Project- and Problem-Based Learning,AS04,assessment,Group Project Group Report Written Submission,3.0,moderate,Type: Case studies. Description: Group Project Group Report Written Submission,substantial project,https://www.sydney.edu.au/units/INFS3120/2026-S1C-ND-CC
INFS3120,UG,Simulation and Case-Based Learning,AS04,assessment,Group Project Group Report Written Submission,4.0,moderate,Type: Case studies. Description: Group Project Group Report Written Submission,explicit case method,https://www.sydney.edu.au/units/INFS3120/2026-S1C-ND-CC
INFS3120,UG,Simulation and Case-Based Learning,WK07,weekly_schedule,Week 07: Process analysis (2) (quantitative): As-Is Simulation using Signavio,4.0,moderate,Process analysis (2) (quantitative): As-Is Simulation using Signavio. Learning activity: Seminar (3 hr),explicit simulation,https://www.sydney.edu.au/units/INFS3120/2026-S1C-ND-CC
INFS3120,UG,Simulation and Case-Based Learning,WK10,weekly_schedule,Week 10: Process improvement (2) - To-Be Simulation using Signavio,4.0,moderate,Process improvement (2) - To-Be Simulation using Signavio. Learning activity: Seminar (3 hr),explicit simulation,https://www.sydney.edu.au/units/INFS3120/2026-S1C-ND-CC
INFS3120,UG,Project- and Problem-Based Learning,WK12,weekly_schedule,Week 12: Emerging topics in BPM; Group project consultation,3.0,moderate,Emerging topics in BPM; Group project consultation. Learning activity: Seminar (3 hr),substantial project,https://www.sydney.edu.au/units/INFS3120/2026-S1C-ND-CC
INFS3400,UG,Work-Integrated and Applied Learning,OV01,overview,Overview paragraph 1,4.0,moderate,"This unit provides students with the opportunity to address complex problems identified by industry, community, and government organisations. With mentorship from a major industry partner and an academic lead, students integrate their academic skills and knowledge by working in diverse teams across disciplinary boundaries. Students research, analyse and present solutions to a real-world problem, and build on their interpersonal and transferable skills by engaging with and learning from experts in the field. See the ICPU website for further information here: https://www.sydney.edu.au/students/industry-and-community-projects.html.",industry or business partner,https://www.sydney.edu.au/units/INFS3400/2026-S2C-ND-CC
INFS3400,UG,Project- and Problem-Based Learning,OV01,overview,Overview paragraph 1,3.5,moderate,"This unit provides students with the opportunity to address complex problems identified by industry, community, and government organisations. With mentorship from a major industry partner and an academic lead, students integrate their academic skills and knowledge by working in diverse teams across disciplinary boundaries. Students research, analyse and present solutions to a real-world problem, and build on their interpersonal and transferable skills by engaging with and learning from experts in the field. See the ICPU website for further information here: https://www.sydney.edu.au/students/industry-and-community-projects.html.",real-world problem,https://www.sydney.edu.au/units/INFS3400/2026-S2C-ND-CC
INFS3400,UG,Project- and Problem-Based Learning,LO01,learning_outcome,Learning outcome 1,3.5,moderate,"LO1. Demonstrate critical awareness of, and apply, disciplinary knowledge, skills and personal attributes to address complex real-world problems",real-world problem,https://www.sydney.edu.au/units/INFS3400/2026-S2C-ND-CC
INFS3400,UG,Project- and Problem-Based Learning,AS06,assessment,Group Project Report Report,3.0,moderate,Type: Written work. Description: Group Project Report Report,substantial project,https://www.sydney.edu.au/units/INFS3400/2026-S2C-ND-CC
INFS3400,UG,Project- and Problem-Based Learning,AD04,assessment_description,Assessment description 4,3.0,moderate,"Group Project Report aims to conduct in depth analysis/es and research, discuss the results, and provide recommendations or solutions to the issues outlined in the group plan.",substantial project,https://www.sydney.edu.au/units/INFS3400/2026-S2C-ND-CC
INFS3400,UG,Project- and Problem-Based Learning,AD12,assessment_description,Assessment description 12,3.0,moderate,You are permitted to use automated writing tools and generative artificial intelligence (AI) to facilitate your learning and completion of this assignment in individual and group project work. Please adhere to the following guidelines:,substantial project,https://www.sydney.edu.au/units/INFS3400/2026-S2C-ND-CC
INFS3600,UG,Work-Integrated and Applied Learning,OV01,overview,Overview paragraph 1,7.5,high,"This capstone unit bridges the gap between theory and practice by integrating knowledge and consolidating key skills developed across the Business Information Systems major. It aims to provide students with practical experience in identifying, analysing, and solving contemporary business problems. Much of this unit is dedicated to a problem-solving, experiential approach to learning. Students ensure their career-readiness by demonstrating their ability to apply concepts, theories, frameworks, methodologies, and skills to authentic problems and challenges faced in the field of information systems.",authentic practice; theory-practice integration; career readiness,https://www.sydney.edu.au/units/INFS3600/2026-S2C-ND-CC
INFS3600,UG,Work-Integrated and Applied Learning,LO01,learning_outcome,Learning outcome 1,4.0,moderate,LO1. apply and relate information systems theories and concepts in the context of an actual business problem with societal relevance,actual organisation or professional context,https://www.sydney.edu.au/units/INFS3600/2026-S2C-ND-CC
INFS3600,UG,Project- and Problem-Based Learning,LO01,learning_outcome,Learning outcome 1,3.5,moderate,LO1. apply and relate information systems theories and concepts in the context of an actual business problem with societal relevance,real-world problem,https://www.sydney.edu.au/units/INFS3600/2026-S2C-ND-CC
INFS3600,UG,Simulation and Case-Based Learning,LO02,learning_outcome,Learning outcome 2,3.5,moderate,LO2. analyse open-ended business scenarios and evaluate the implications of information systems decisions,explicit scenario method,https://www.sydney.edu.au/units/INFS3600/2026-S2C-ND-CC
INFS3600,UG,Work-Integrated and Applied Learning,LO03,learning_outcome,Learning outcome 3,4.0,moderate,LO3. apply techniques for organisational and business process analyses to resolve an actual business problem,actual organisation or professional context,https://www.sydney.edu.au/units/INFS3600/2026-S2C-ND-CC
INFS3600,UG,Project- and Problem-Based Learning,LO03,learning_outcome,Learning outcome 3,3.5,moderate,LO3. apply techniques for organisational and business process analyses to resolve an actual business problem,real-world problem,https://www.sydney.edu.au/units/INFS3600/2026-S2C-ND-CC
INFS3600,UG,Work-Integrated and Applied Learning,LO04,learning_outcome,Learning outcome 4,4.0,moderate,"LO4. communicate in a professional and confident manner, both orally and in writing, with actual business professionals",actual organisation or professional context,https://www.sydney.edu.au/units/INFS3600/2026-S2C-ND-CC
INFS3600,UG,Work-Integrated and Applied Learning,AS03,assessment,"Group project presentation Students deliver a prepared presentation, followed by a supervised in-class Q&A. During the Q&A, verified students respond to teaching staff questions under supervision and without unapproved external assistance.",3.5,moderate,"Type: Q&A following presentation, submission or placement. Description: Group project presentation Students deliver a prepared presentation, followed by a supervised in-class Q&A. During the Q&A, verified students respond to teaching staff questions under supervision and without unapproved external assistance.",professional presentation,https://www.sydney.edu.au/units/INFS3600/2026-S2C-ND-CC
INFS3600,UG,Project- and Problem-Based Learning,AS03,assessment,"Group project presentation Students deliver a prepared presentation, followed by a supervised in-class Q&A. During the Q&A, verified students respond to teaching staff questions under supervision and without unapproved external assistance.",3.0,moderate,"Type: Q&A following presentation, submission or placement. Description: Group project presentation Students deliver a prepared presentation, followed by a supervised in-class Q&A. During the Q&A, verified students respond to teaching staff questions under supervision and without unapproved external assistance.",substantial project,https://www.sydney.edu.au/units/INFS3600/2026-S2C-ND-CC
INFS3600,UG,Project- and Problem-Based Learning,AD01,assessment_description,Assessment description 1,3.0,moderate,Individual assignment: This assignment is in the form of an individual progress report that corresponds to a specific section of the group project. The content of this report will vary depending on the student's designated role within the project team. The report comprises 1500 (± 10%) words and associated discussions during the group consultation sessions.,substantial project,https://www.sydney.edu.au/units/INFS3600/2026-S2C-ND-CC
INFS3600,UG,Project- and Problem-Based Learning,AD02,assessment_description,Assessment description 2,3.0,moderate,"Group assignment: This assessment item requires students to work within their project groups to analyse and provide recommendations for resolving a business problem of an actual client. Each project group will be expected to look for and acquire their own client, and design a technology-enabled solution that will improve a substantive business process of the client. The deliverables of the project include a 15 minute presentation and a project report of 6000 (± 10%) words.",substantial project,https://www.sydney.edu.au/units/INFS3600/2026-S2C-ND-CC
INFS3600,UG,Project- and Problem-Based Learning,AD03,assessment_description,Assessment description 3,3.0,moderate,"Reflective journal: Individual, continuous, reflective journal about the student’s authentic learning experience gleaned from the group project and the in-class activities. The student will draft the reflective journal continuously in Canvas and the teaching team will ask them 4-5 ‘provocative’ questions to prompt their critical reflection throughout the semester. The final deliverable is a written reflective journal of 1500 words (± 10%).",substantial project,https://www.sydney.edu.au/units/INFS3600/2026-S2C-ND-CC
INFS3600,UG,Simulation and Case-Based Learning,WK02,weekly_schedule,Week 02: Case Study Research Methods,4.0,moderate,Case Study Research Methods. Learning activity: Seminar (3 hr),explicit case method,https://www.sydney.edu.au/units/INFS3600/2026-S2C-ND-CC
INFS3600,UG,Work-Integrated and Applied Learning,WK13,weekly_schedule,Week 13: Project presentations,3.5,moderate,Project presentations. Learning activity: Seminar (3 hr),professional presentation,https://www.sydney.edu.au/units/INFS3600/2026-S2C-ND-CC
INFS5002,PG,Project- and Problem-Based Learning,AS04,assessment,"Group Project Design proposal for system, with weekly formative submissions, see Canvas.",3.0,moderate,"Type: Portfolio or journal. Description: Group Project Design proposal for system, with weekly formative submissions, see Canvas.",substantial project,https://www.sydney.edu.au/units/INFS5002/2026-S2C-ND-CC
INFS5002,PG,Work-Integrated and Applied Learning,AS05,assessment,Group project Presentation Each team should offer a 3-minute proposal presentation followed by a 5-minute Q&A. see Canvas.,3.5,moderate,Type: Presentation. Description: Group project Presentation Each team should offer a 3-minute proposal presentation followed by a 5-minute Q&A. see Canvas.,professional presentation,https://www.sydney.edu.au/units/INFS5002/2026-S2C-ND-CC
INFS5002,PG,Project- and Problem-Based Learning,AS05,assessment,Group project Presentation Each team should offer a 3-minute proposal presentation followed by a 5-minute Q&A. see Canvas.,3.0,moderate,Type: Presentation. Description: Group project Presentation Each team should offer a 3-minute proposal presentation followed by a 5-minute Q&A. see Canvas.,substantial project,https://www.sydney.edu.au/units/INFS5002/2026-S2C-ND-CC
INFS5002,PG,Project- and Problem-Based Learning,WK04,weekly_schedule,Week 04: Workshop - Design Thinking,3.5,moderate,Workshop - Design Thinking. Learning activity: Seminar (3 hr),design thinking,https://www.sydney.edu.au/units/INFS5002/2026-S2C-ND-CC
INFS5002,PG,Project- and Problem-Based Learning,WK13,weekly_schedule,Week 13: Group Project pitch/presentation to clients.,3.0,moderate,Group Project pitch/presentation to clients.. Learning activity: Seminar (3 hr),substantial project,https://www.sydney.edu.au/units/INFS5002/2026-S2C-ND-CC
INFS6002,PG,Simulation and Case-Based Learning,LO02,learning_outcome,Learning outcome 2,3.5,moderate,LO2. Demonstrate your understanding of the range of available outsourced IT services by selecting suitable services for a set of provided business scenarios.,explicit scenario method,https://www.sydney.edu.au/units/INFS6002/2026-S2C-ND-CC
INFS6002,PG,Simulation and Case-Based Learning,AS02,assessment,Case Study Presentation on a chosen case article,4.0,moderate,Type: Presentation. Description: Case Study Presentation on a chosen case article,explicit case method,https://www.sydney.edu.au/units/INFS6002/2026-S2C-ND-CC
INFS6002,PG,Simulation and Case-Based Learning,AS03,assessment,Case study on IT Sourcing Decision Worksheet Presentation Complete in class,4.0,moderate,Type: Case studies. Description: Case study on IT Sourcing Decision Worksheet Presentation Complete in class,explicit case method,https://www.sydney.edu.au/units/INFS6002/2026-S2C-ND-CC
INFS6002,PG,Simulation and Case-Based Learning,AD05,assessment_description,Assessment description 5,4.0,moderate,Case Study Discussion: Every group presents one case study in class. The order is to be determined in class.,explicit case method,https://www.sydney.edu.au/units/INFS6002/2026-S2C-ND-CC
INFS6002,PG,Simulation and Case-Based Learning,AD06,assessment_description,Assessment description 6,4.0,moderate,In-class Assessment: Work as a group to solve a sourcing decision making case study in class. Including worksheet and presentation.,explicit case method,https://www.sydney.edu.au/units/INFS6002/2026-S2C-ND-CC
INFS6002,PG,Project- and Problem-Based Learning,AD07,assessment_description,Assessment description 7,3.0,moderate,Group Project Report: Develop an IS pitching proposal as a vendor,substantial project,https://www.sydney.edu.au/units/INFS6002/2026-S2C-ND-CC
INFS6002,PG,Project- and Problem-Based Learning,AD08,assessment_description,Assessment description 8,3.0,moderate,Group Project Video: Marketing/Pitching video for a chosen information systems.,substantial project,https://www.sydney.edu.au/units/INFS6002/2026-S2C-ND-CC
INFS6004,PG,Simulation and Case-Based Learning,AS04,assessment,Assignment 2a Group report outline,4.0,moderate,Type: Case studies. Description: Assignment 2a Group report outline,explicit case method,https://www.sydney.edu.au/units/INFS6004/2026-S1C-NE-CC
INFS6004,PG,Simulation and Case-Based Learning,AS05,assessment,Assignment 2b Business report and presentation slides,4.0,moderate,Type: Case studies. Description: Assignment 2b Business report and presentation slides,explicit case method,https://www.sydney.edu.au/units/INFS6004/2026-S1C-NE-CC
INFS6012,PG,Simulation and Case-Based Learning,OV01,overview,Overview paragraph 1,4.0,moderate,"The unit provides an overall introduction to the different components of digital information infrastructures in organisational contexts. This includes organisational enterprise systems architecture, legacy systems, enterprise systems, cloud infrastructure and enabling technologies such as blockchain, internet of things, or web services. Strategic managerial issues that arise from the implementation, use, and security management of information infrastructures and enterprise systems are also covered. The unit utilises a combination of practical sessions with Enterprise Systems, such as SAP, and case study analyses to build a deep understanding of relevant topics.",explicit case method,https://www.sydney.edu.au/units/INFS6012/2026-S1C-ND-CC
INFS6012,PG,Project- and Problem-Based Learning,LO07,learning_outcome,Learning outcome 7,3.5,moderate,LO7. apply the principles of IT resources management to effectively solve real-world problems.,real-world problem,https://www.sydney.edu.au/units/INFS6012/2026-S1C-ND-CC
INFS6012,PG,Simulation and Case-Based Learning,AS02,assessment,Case Presentation Presentation on Case Study Articles,4.0,moderate,Type: Presentation. Description: Case Presentation Presentation on Case Study Articles,explicit case method,https://www.sydney.edu.au/units/INFS6012/2026-S1C-ND-CC
INFS6012,PG,Project- and Problem-Based Learning,AS04,assessment,Group project report Report,3.0,moderate,Type: Written work. Description: Group project report Report,substantial project,https://www.sydney.edu.au/units/INFS6012/2026-S1C-ND-CC
INFS6012,PG,Work-Integrated and Applied Learning,AS05,assessment,Group project presentation Report,3.5,moderate,Type: Presentation. Description: Group project presentation Report,professional presentation,https://www.sydney.edu.au/units/INFS6012/2026-S1C-ND-CC
INFS6012,PG,Project- and Problem-Based Learning,AS05,assessment,Group project presentation Report,3.0,moderate,Type: Presentation. Description: Group project presentation Report,substantial project,https://www.sydney.edu.au/units/INFS6012/2026-S1C-ND-CC
INFS6012,PG,Project- and Problem-Based Learning,AD02,assessment_description,Assessment description 2,3.0,moderate,"Group project: You must demonstrate an information infrastructure which explains the role of enterprise systems within that infrastructure, discusses organisational and change management issues, and examines the effect of new technological trends.",substantial project,https://www.sydney.edu.au/units/INFS6012/2026-S1C-ND-CC
INFS6015,PG,Simulation and Case-Based Learning,AS02,assessment,Individual assignment Written submission,4.0,moderate,Type: Case studies. Description: Individual assignment Written submission,explicit case method,https://www.sydney.edu.au/units/INFS6015/2026-S2C-NE-CC
INFS6015,PG,Simulation and Case-Based Learning,AS04,assessment,Business Report Group Report Submission,4.0,moderate,Type: Case studies. Description: Business Report Group Report Submission,explicit case method,https://www.sydney.edu.au/units/INFS6015/2026-S2C-NE-CC
INFS6015,PG,Project- and Problem-Based Learning,WK12,weekly_schedule,Week 12: BPM emerging topics; Group project consultation,3.0,moderate,BPM emerging topics; Group project consultation. Learning activity: Seminar (3 hr),substantial project,https://www.sydney.edu.au/units/INFS6015/2026-S2C-NE-CC
INFS6016,PG,Project- and Problem-Based Learning,AS02,assessment,Individual project Written report,3.0,moderate,Type: Written work. Description: Individual project Written report,substantial project,https://www.sydney.edu.au/units/INFS6016/2026-S1C-ND-CC
INFS6016,PG,Project- and Problem-Based Learning,AS03,assessment,Group project report Written report,3.0,moderate,Type: Written work. Description: Group project report Written report,substantial project,https://www.sydney.edu.au/units/INFS6016/2026-S1C-ND-CC
INFS6016,PG,Work-Integrated and Applied Learning,AS04,assessment,Group project presentation Group project presentation,3.5,moderate,Type: Presentation. Description: Group project presentation Group project presentation,professional presentation,https://www.sydney.edu.au/units/INFS6016/2026-S1C-ND-CC
INFS6016,PG,Project- and Problem-Based Learning,AS04,assessment,Group project presentation Group project presentation,3.0,moderate,Type: Presentation. Description: Group project presentation Group project presentation,substantial project,https://www.sydney.edu.au/units/INFS6016/2026-S1C-ND-CC
INFS6016,PG,Project- and Problem-Based Learning,AD02,assessment_description,Assessment description 2,3.0,moderate,Group project report: The group project report is an applied assignment that requires the team's original development of an innovative digital business plan.,substantial project,https://www.sydney.edu.au/units/INFS6016/2026-S1C-ND-CC
INFS6016,PG,Work-Integrated and Applied Learning,AD03,assessment_description,Assessment description 3,3.5,moderate,"Group project presentation: All students in each team will design, develop, and present the critical details from the group assignment report.",professional presentation,https://www.sydney.edu.au/units/INFS6016/2026-S1C-ND-CC
INFS6016,PG,Project- and Problem-Based Learning,AD03,assessment_description,Assessment description 3,3.0,moderate,"Group project presentation: All students in each team will design, develop, and present the critical details from the group assignment report.",substantial project,https://www.sydney.edu.au/units/INFS6016/2026-S1C-ND-CC
INFS6016,PG,Project- and Problem-Based Learning,WK07,weekly_schedule,Week 07: Group project activity,3.0,moderate,Group project activity. Learning activity: Seminar (3 hr),substantial project,https://www.sydney.edu.au/units/INFS6016/2026-S1C-ND-CC
INFS6016,PG,Project- and Problem-Based Learning,WK08,weekly_schedule,Week 08: Group project activity,3.0,moderate,Group project activity. Learning activity: Seminar (3 hr),substantial project,https://www.sydney.edu.au/units/INFS6016/2026-S1C-ND-CC
INFS6018,PG,Project- and Problem-Based Learning,AS03,assessment,Project report Written report,3.0,moderate,Type: Data analysis. Description: Project report Written report,substantial project,https://www.sydney.edu.au/units/INFS6018/2026-S1C-ND-CC
INFS6018,PG,Work-Integrated and Applied Learning,AS04,assessment,Group project presentation Group presentation of written report and related analysis,3.5,moderate,Type: Presentation. Description: Group project presentation Group presentation of written report and related analysis,professional presentation,https://www.sydney.edu.au/units/INFS6018/2026-S1C-ND-CC
INFS6018,PG,Project- and Problem-Based Learning,AS04,assessment,Group project presentation Group presentation of written report and related analysis,3.0,moderate,Type: Presentation. Description: Group project presentation Group presentation of written report and related analysis,substantial project,https://www.sydney.edu.au/units/INFS6018/2026-S1C-ND-CC
INFS6018,PG,Project- and Problem-Based Learning,AD02,assessment_description,Assessment description 2,3.0,moderate,"Group project and report: In groups, students will use Tableau to explore a real-world data set and consider the implications for distinct personas. Students will prepare a report outlining this analysis. Students will be orally examined in groups on the contents of this report.",substantial project,https://www.sydney.edu.au/units/INFS6018/2026-S1C-ND-CC
INFS6023,PG,Simulation and Case-Based Learning,AS02,assessment,Case study discussion Presentation,4.0,moderate,Type: Case studies. Description: Case study discussion Presentation,explicit case method,https://www.sydney.edu.au/units/INFS6023/2026-S2C-ND-CC
INFS6023,PG,Simulation and Case-Based Learning,AS03,assessment,In-class assessment Case study discussion,4.0,moderate,Type: Conversation. Description: In-class assessment Case study discussion,explicit case method,https://www.sydney.edu.au/units/INFS6023/2026-S2C-ND-CC
INFS6023,PG,Project- and Problem-Based Learning,AS05,assessment,Group project report Written report,3.0,moderate,Type: Written work. Description: Group project report Written report,substantial project,https://www.sydney.edu.au/units/INFS6023/2026-S2C-ND-CC
INFS6023,PG,Work-Integrated and Applied Learning,AS06,assessment,Group project presentation Presentation,3.5,moderate,Type: Presentation. Description: Group project presentation Presentation,professional presentation,https://www.sydney.edu.au/units/INFS6023/2026-S2C-ND-CC
INFS6023,PG,Project- and Problem-Based Learning,AS06,assessment,Group project presentation Presentation,3.0,moderate,Type: Presentation. Description: Group project presentation Presentation,substantial project,https://www.sydney.edu.au/units/INFS6023/2026-S2C-ND-CC
INFS6023,PG,Simulation and Case-Based Learning,AD01,assessment_description,Assessment description 1,4.0,moderate,Case Study Discussion: The purpose of this assignment is for students to apply data visualisation concepts to real-world business cases and datasets. Case studies will be assigned on a weekly basis and discussed in class.,explicit case method,https://www.sydney.edu.au/units/INFS6023/2026-S2C-ND-CC
